RefDes,Type,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0603,13.25,19,Top,180,.1uF
C2,CAP_0603,7.2,12.25,Top,270,1uF
C3,CAP_0603,1.85,22.9,Top,0,1uF
C4,CAP_0603,5.95,28.8,Top,0,1uF
C5,CAP_0603,8.6,27.75,Top,90,.1uF
F1,FUSE,3.25,25.9,Top,180,1.5A
J1,ISP,3.97,3.34,Top,0,
J2,uUSB SMD,2.11,14.92,Top,270,
Q1,MOSFETN,27.86,4.27,Top,270,BUK9277-55A
Q2,MOSFETN,26.29,15.21,Top,0,BUK9277-55A
Q3,MOSFETN,27.44,25.63,Top,90,BUK9277-55A
R1,RES_0603,9.05,1.9,Top,0,10k
R2,RES_0603,14.05,4.4,Top,180,1M
R3,RES_0603,7.15,16,Top,180,22
R4,RES_0603,7.15,14.7,Top,180,22
R5,RES_1206,23.4,3.1,Top,180,15
R6,RES_1206,26.06,18.35,Top,180,18
R7,RES_1206,23.8,26.8,Top,180,30
R8,RES_0603,27.75,7.3,Top,0,10k
R9,RES_0603,23.66,15.1,Top,90,10k
R10,RES_0603,27.75,22.8,Top,180,10k
U1,ATmega16U4,13.85,14.3,Top,0,
U2,SunLED RGB,15,15.3,Bottom,180,
X1,PBRC-M Resonator,14.02,7.79,Top,0,16.00Mhz
